Campaign,Keyword,Match Type,Group
UK | Search | Cast Iron Radiators | AI Max,how to,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,repair,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,repairing,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,leaking,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,leak,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,bleeding,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,bleed,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,welding,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,weld,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,sandblasting,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,sandblast,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,powder coating,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,powder coat,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,restoring,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,restore,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,removing,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,remove,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,moving,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,lifting,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,fitting,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,install,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,installation,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,plumbing,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,sizing,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,calculator,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,cracked,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,crack,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,painting,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,paint,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,respray,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,diy,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,forum,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,on carpet,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,under window,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,reviews,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,wiki,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,history,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,btu calculator,Phrase,"Repair, DIY & informational"
UK | Search | Cast Iron Radiators | AI Max,used,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,second hand,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,secondhand,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,reclaimed,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,salvage,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,salvaged,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,scrap,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,scrappage,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,ebay,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,gumtree,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,facebook marketplace,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,free,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,selling,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,sell my,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,auction,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,refurbished,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,restored,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,reconditioned,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,rebuilding,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,repro,Phrase,Second-hand & reclaimed
UK | Search | Cast Iron Radiators | AI Max,cast iron radiator centre,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,castironradiatorcentre,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,cast iron radiator center,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,cast iron radiators for you,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,cast iron radiators com,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,paladin,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,b and q,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,b&q,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,screwfix,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,wickes,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,homebase,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,toolstation,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,trads,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,arroll,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,carron,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,sunrad,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,clyde,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,churchill,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,st paul,Phrase,Competitor & other brands
UK | Search | Cast Iron Radiators | AI Max,wagner,Phrase,Competitor & other brands
