ID,Raised,Category,Issue,Evidence / current size,Cost of inaction,Impact,Effort,Owner,Status,Target date,Last update,Notes / next step
ESC-01,2026-08-11,Site,Mobile sessions are not reaching checkout,"Google Ads mobile: sessions reaching checkout halved 9.83% -> 4.72%. Checkout completion IMPROVED (26.7% -> 28.1%), so the failure is between landing and basket.",Mobile is 81% of Google traffic converting at 40% of the desktop rate. Largest single value gap in the business.,High,High,,Open,,,"Needs dev scoping: product pages, filtering, imagery, page weight on mobile."
ESC-02,2026-08-11,Commercial,Discount rate rising,"13.3% of gross over the period, 16.6% in August. GBP 55,669 given away vs GBP 82,238 media spend.","Every 1pt of discount = ~GBP 4,196 over a period this size.",High,Low,,Open,,,Not mine to set. Needs a target or a mandate.
ESC-03,2026-08-11,Media budget,Search campaigns capped by budget,AI Max Search Column losing 29.1% of impressions to budget; Electric 22.0%; Cast Iron 23.9%. Google's rep independently flags Column as 'Limited by Budget'.,Cheapest available growth before peak. Demand we are already qualified to win going to competitors.,High,Low,,Open,,,"Needs a peak budget envelope, not a change from me."
ESC-04,2026-08-11,Finance / data,VAT basis of reported revenue unknown,Decides whether break-even ROAS is 1.75x (ex-VAT) or 2.10x (inc-VAT).,"~GBP 30,000 of contribution on the quarter. Affects every bid target.",High,Low,,Open,,,One-line answer from finance.
ESC-05,2026-08-11,Finance / data,"Margin weighted by units sold, not catalogue","Catalogue margin 57.1% of RRP ex-VAT across 733 SKUs. Weighted by RRP, not by units actually sold.",Cannot set tROAS by category without it. Product names alone match only 4.8% of units.,Medium,Medium,,Open,,,Needs a SKU column added to the WooCommerce order export.
ESC-06,2026-08-11,Commercial,Coupon causation unresolved,Coupon orders carry 35% higher AOV and 44% more items than non-coupon orders.,Determines whether discounting is buying basket size or being given to people who would buy anyway. Opposite actions.,Medium,Medium,,Open,,,Blocks a firm recommendation on the discount rate. Needs a controlled test.
ESC-07,2026-08-11,Commercial,No promotional calendar,"Sale vs full-price periods, dates and discount depth not available.",Pacing budget and setting bid targets blind into the biggest quarter of the year. 20% off more than doubles required ROAS.,High,Low,,Open,,,"Needed weekly, not once."
ESC-08,2026-08-11,Commercial,No Black Friday deal plan,"Deals, depth, categories and dates not confirmed.","Bid strategies, feed flags and creative need 3-4 weeks' lead. First inputs due late October.",High,Low,,Open,,,If the plan lands in November we run BF on full-price targets.
ESC-09,2026-08-11,Site / dev,612 pages with broken JavaScript,"Flagged as errors in the Ahrefs crawl, 10 Aug.",Risks rendering and anything measurement-dependent.,Medium,Medium,,Open,,,"Half a day to scope, then an estimate."
ESC-10,2026-08-11,Data,GA4 order tracking coverage falling,"GA4 records 826 of 1,074 actual orders (77%), down from 555 of 684 (81%) last year. Revenue capture 92.3% vs 99.4%.","~248 orders and ~GBP 28,000 unattributable to any channel. Understates every channel.",Medium,Medium,Me,In progress,,,Investigating alongside ESC-11.
ESC-11,2026-08-11,Data,986 unattributable sessions (2.2%),Landing page recorded as (not set) or blank. 41% engagement vs 69% site average. Up from 186 sessions last year.,Points at a tracking or redirect fault.,Low,Medium,Me,In progress,,,Likely related to ESC-10.
ESC-12,2026-08-11,SEO,Google rewriting our page titles,89 pages where page title and SERP title do not match. Column radiators 0.71% CTR at position 8.2; cast iron 0.50% at 6.7.,"Rankings already won, clicks not being earned. Highest-return SEO work available.",Medium,Low,Me,Open,2026-09-30,,No dev or budget needed. September.
ESC-13,2026-08-11,Product feed,Cast iron SKUs ineligible to serve,"Windsor GBP 2,167, Oxford GBP 2,320, Mayfair GBP 1,470, Victorian GBP 924-1,116 marked 'Not eligible - excluded product or listing group'.",Two campaigns built to sell products that cannot appear. PMax Cast Iron running ~1.02x.,High,Medium,Me,In progress,,,I own feed and changes end to end.
ESC-14,2026-08-11,SEO,Cast iron ranking on the wrong page,"'cast iron radiators' 4,500 searches/month, ranked 29, resolving to /product-category/column-radiators/. A dozen variants rank 5-15 on the same wrong URL.",Biggest single organic opportunity in the account.,High,Medium,Me,Open,2026-09-30,,Dedicated cast iron hub plus colour variant pages. Research already written.
ESC-15,2026-08-11,Media efficiency,Bing cost per session twice Google's,"GBP 5.23 vs Google GBP 2.62. Spend scaled from GBP 2,552 to GBP 10,729.",Heavy budget throttling forces bidding into the most expensive slots.,Medium,Low,Me,Open,2026-08-31,,Pacing and budget caps. Mine to fix.
ESC-16,2026-08-11,Data,Meta CAPI / server-side tracking unverified,"On the takeover checklist since 9 June, still unconfirmed.",A large share of users invisible to optimisation.,Medium,Medium,Me,Open,2026-09-30,,
ESC-17,2026-08-11,Product,Only white cast iron converts,"Victorian, Windsor, Piccadilly, Mayfair, Oxford and anthracite took 208 sessions and produced GBP 0. White converts above site average.","Same product family, so not a demand problem. Points at stock, lead time or price presentation.",Medium,Medium,,Open,,,"Merchandising question, needs product-side input."
